,SampleSiteCode,SampleID,Soil Wet Weight (g),Soil Dry Weight (g),Lab #,SiteID,"Whole sample wt, g",">2mm portion wt, g",SAND,SILT,CLAY,IGSN,Top sample depth_cm,Bottom sample depth_cm,Collection date,BD_tot g/cm3,"<2mm portion wt, g",BD_2mm g/cm3,BD_wet g/cm3,water content %vol,mineral density g/cm3,sand density g/cm3,silt density g/cm3,clay density g/cm3
368,378-ER18,378-ER18-SBD,129.94,78.44,91946.0,378.0,80.43,4.19,24.5,53.7,21.7,IER1801H0,2.5,7.5,6/27/18,0.87,74.25,0.82,1.43,56.85,0.79,0.18,0.4,0.16
369,379-ER18,379-ER18-SBD,96.62,81.61,91947.0,379.0,82.74,36.61,,,,IER1801H2,2.5,7.5,6/27/18,0.9,45.0,0.5,1.07,16.57,0.85,,,
370,380-ER18,380-ER18-SBD,105.87,30.74,91948.0,380.0,32.07,0.02,,,,IER1801H3,2.5,7.5,6/27/18,0.34,30.72,0.34,1.17,82.93,0.24,,,
371,381-ER18,381-ER18-SBD,79.53,68.79,91759.0,381.0,69.75,27.92,,,,IER1801H5,2.5,7.5,6/27/18,0.76,40.87,0.45,0.88,11.86,0.7,,,
372,382-ER18,382-ER18-SBD,110.77,92.26,91949.0,382.0,93.07,30.6,38.8,39.5,21.7,IER1801H6,2.5,7.5,6/27/18,1.02,61.66,0.68,1.22,20.43,0.97,0.24,0.25,0.14
373,383-ER18,383-ER18-SBD,110.44,88.03,91950.0,383.0,89.69,16.44,41.5,33.1,25.5,IER1801H7,2.5,7.5,6/27/18,0.97,71.59,0.79,1.22,24.74,0.91,0.3,0.24,0.19
374,384-ER18,384-ER18-SBD,132.77,116.56,91760.0,384.0,119.48,64.64,49.2,30.5,20.3,IER1801H8,2.5,7.5,6/27/18,1.29,51.92,0.57,1.47,17.89,1.26,0.27,0.17,0.11
375,385-ER18,385-ER18-SBD,84.5,68.52,91761.0,385.0,69.52,22.78,49.9,29.7,20.4,IER1801H9,2.5,7.5,6/27/18,0.76,45.74,0.5,0.93,17.64,0.72,0.23,0.14,0.1
376,386-ER18,386-ER18-SBD,115.73,103.14,91762.0,386.0,103.5,54.76,53.9,25.7,20.4,IER1801HA,2.5,7.5,6/27/18,1.14,48.38,0.53,1.28,13.9,1.13,0.28,0.13,0.11
377,387-ER18,387-ER18-SBD,129.52,120.89,91763.0,387.0,121.6,22.25,50.2,30.7,19.1,IER1801HB,2.5,7.5,6/27/18,1.33,98.64,1.09,1.43,9.53,1.26,0.51,0.31,0.19
378,388-ER18,388-ER18-SBD,92.34,76.64,91764.0,388.0,77.62,18.52,40.0,39.7,20.3,IER1801HC,2.5,7.5,6/27/18,0.85,58.12,0.64,1.02,17.33,0.8,0.24,0.24,0.12
379,389-ER18,389-ER18-SBD,84.81,15.2,91765.0,389.0,15.92,3.12,,,,IER1801HD,2.5,7.5,6/27/18,0.17,12.08,0.13,0.94,76.84,0.09,,,
380,390-ER18,390-ER18-SBD,86.26,67.25,91766.0,390.0,67.76,12.01,34.4,42.5,23.1,IER1801HE,2.5,7.5,6/27/18,0.74,55.24,0.61,0.95,20.98,0.69,0.19,0.24,0.13
381,391-ER18,391-ER18-SBD,106.22,80.74,91767.0,391.0,82.17,14.39,29.5,47.5,23.0,IER1801HF,2.5,7.5,6/27/18,0.89,66.35,0.73,1.17,28.13,0.84,0.2,0.32,0.16
382,392-ER18,392-ER18-SBD,72.67,45.79,91768.0,392.0,46.13,2.35,,,,IER1801HG,2.5,7.5,6/27/18,0.51,43.44,0.48,0.8,29.67,0.43,,,
383,393-ER18,393-ER18-SBD,69.23,50.73,91769.0,393.0,51.81,7.66,,,,IER1801HH,2.5,7.5,6/27/18,0.56,43.07,0.48,0.76,20.42,0.5,,,
384,395-ER18,395-ER18-SBD,107.72,93.93,91951.0,395.0,94.85,18.59,51.6,26.7,21.6,IER1801HJ,2.5,7.5,6/27/18,1.04,75.34,0.83,1.19,15.22,0.99,0.41,0.21,0.17
